DateTime,USD to LBP
2018-12-01,1515
2018-12-02,1515
2018-12-03,1515
2018-12-04,1515
2018-12-05,1515
2018-12-06,1515
2018-12-07,1515
2018-12-08,1515
2018-12-09,1515
2018-12-10,1515
2018-12-11,1515
2018-12-12,1515
2018-12-13,1515
2018-12-14,1515
2018-12-15,1515
2018-12-16,1515
2018-12-17,1515
2018-12-18,1515
2018-12-19,1515
2018-12-20,1515
2018-12-21,1515
2018-12-22,1515
2018-12-23,1515
2018-12-24,1515
2018-12-25,1515
2018-12-26,1515
2018-12-27,1515
2018-12-28,1515
2018-12-29,1515
2018-12-30,1515
2018-12-31,1515
2019-01-01,1515
2019-01-02,1515
2019-01-03,1515
2019-01-04,1515
2019-01-05,1515
2019-01-06,1515
2019-01-07,1515
2019-01-08,1515
2019-01-09,1515
2019-01-10,1515
2019-01-11,1515
2019-01-12,1515
2019-01-13,1515
2019-01-14,1515
2019-01-15,1515
2019-01-16,1515
2019-01-17,1515
2019-01-18,1515
2019-01-19,1515
2019-01-20,1515
2019-01-21,1515
2019-01-22,1515
2019-01-23,1515
2019-01-24,1515
2019-01-25,1515
2019-01-26,1515
2019-01-27,1515
2019-01-28,1515
2019-01-29,1515
2019-01-30,1515
2019-01-31,1515
2019-02-01,1515
2019-02-02,1515
2019-02-03,1515
2019-02-04,1515
2019-02-05,1515
2019-02-06,1515
2019-02-07,1515
2019-02-08,1515
2019-02-09,1515
2019-02-10,1515
2019-02-11,1515
2019-02-12,1515
2019-02-13,1515
2019-02-14,1515
2019-02-15,1515
2019-02-16,1515
2019-02-17,1515
2019-02-18,1515
2019-02-19,1515
2019-02-20,1515
2019-02-21,1515
2019-02-22,1515
2019-02-23,1515
2019-02-24,1515
2019-02-25,1515
2019-02-26,1515
2019-02-27,1515
2019-02-28,1515
2019-03-01,1515
2019-03-02,1515
2019-03-03,1515
2019-03-04,1515
2019-03-05,1515
2019-03-06,1515
2019-03-07,1515
2019-03-08,1515
2019-03-09,1515
2019-03-10,1515
2019-03-11,1515
2019-03-12,1515
2019-03-13,1515
2019-03-14,1515
2019-03-15,1515
2019-03-16,1515
2019-03-17,1515
2019-03-18,1515
2019-03-19,1515
2019-03-20,1515
2019-03-21,1515
2019-03-22,1515
2019-03-23,1515
2019-03-24,1515
2019-03-25,1515
2019-03-26,1515
2019-03-27,1515
2019-03-28,1515
2019-03-29,1515
2019-03-30,1515
2019-03-31,1515
2019-04-01,1515
2019-04-02,1515
2019-04-03,1515
2019-04-04,1515
2019-04-05,1515
2019-04-06,1515
2019-04-07,1515
2019-04-08,1515
2019-04-09,1515
2019-04-10,1515
2019-04-11,1515
2019-04-12,1515
2019-04-13,1515
2019-04-14,1515
2019-04-15,1515
2019-04-16,1515
2019-04-17,1515
2019-04-18,1515
2019-04-19,1515
2019-04-20,1515
2019-04-21,1515
2019-04-22,1515
2019-04-23,1515
2019-04-24,1515
2019-04-25,1515
2019-04-26,1515
2019-04-27,1515
2019-04-28,1515
2019-04-29,1515
2019-04-30,1515
2019-05-01,1515
2019-05-02,1515
2019-05-03,1515
2019-05-04,1515
2019-05-05,1515
2019-05-06,1515
2019-05-07,1515
2019-05-08,1515
2019-05-09,1515
2019-05-10,1515
2019-05-11,1515
2019-05-12,1515
2019-05-13,1515
2019-05-14,1515
2019-05-15,1515
2019-05-16,1515
2019-05-17,1515
2019-05-18,1515
2019-05-19,1515
2019-05-20,1515
2019-05-21,1515
2019-05-22,1515
2019-05-23,1515
2019-05-24,1515
2019-05-25,1515
2019-05-26,1515
2019-05-27,1515
2019-05-28,1515
2019-05-29,1515
2019-05-30,1515
2019-05-31,1515
2019-06-01,1515
2019-06-02,1515
2019-06-03,1515
2019-06-04,1515
2019-06-05,1515
2019-06-06,1515
2019-06-07,1515
2019-06-08,1515
2019-06-09,1515
2019-06-10,1515
2019-06-11,1515
2019-06-12,1515
2019-06-13,1515
2019-06-14,1515
2019-06-15,1515
2019-06-16,1515
2019-06-17,1515
2019-06-18,1515
2019-06-19,1515
2019-06-20,1515
2019-06-21,1515
2019-06-22,1515
2019-06-23,1515
2019-06-24,1515
2019-06-25,1515
2019-06-26,1515
2019-06-27,1515
2019-06-28,1515
2019-06-29,1515
2019-06-30,1515
2019-07-01,1515
2019-07-02,1515
2019-07-03,1515
2019-07-04,1515
2019-07-05,1515
2019-07-06,1515
2019-07-07,1515
2019-07-08,1515
2019-07-09,1515
2019-07-10,1515
2019-07-11,1515
2019-07-12,1515
2019-07-13,1515
2019-07-14,1515
2019-07-15,1515
2019-07-16,1515
2019-07-17,1515
2019-07-18,1515
2019-07-19,1515
2019-07-20,1515
2019-07-21,1515
2019-07-22,1515
2019-07-23,1515
2019-07-24,1515
2019-07-25,1515
2019-07-26,1515
2019-07-27,1515
2019-07-28,1515
2019-07-29,1515
2019-07-30,1515
2019-07-31,1515
2019-08-01,1530
2019-08-02,1530
2019-08-03,1530
2019-08-04,1540
2019-08-05,1550
2019-08-06,1560
2019-08-07,1560
2019-08-08,1560
2019-08-09,1560
2019-08-10,1560
2019-08-11,1560
2019-08-12,1560
2019-08-13,1560
2019-08-14,1560
2019-08-15,1560
2019-08-16,1580
2019-08-17,1580
2019-08-18,1580
2019-08-19,1580
2019-08-20,1580
2019-08-21,1580
2019-08-22,1580
2019-08-23,1590
2019-08-24,1590
2019-08-25,1590
2019-08-26,1590
2019-08-27,1600
2019-08-28,1620
2019-08-29,1620
2019-08-30,1600
2019-08-31,1600
2019-09-01,1640
2019-09-02,1640
2019-09-03,1620
2019-09-04,1620
2019-09-05,1650
2019-09-06,1650
2019-09-07,1640
2019-09-08,1630
2019-09-09,1620
2019-09-10,1620
2019-09-11,1640
2019-09-12,1650
2019-09-13,1650
2019-09-14,1680
2019-09-15,1680
2019-09-16,1700
2019-09-17,1720
2019-09-18,1730
2019-09-19,1720
2019-09-20,1740
2019-09-21,1730
2019-09-22,1720
2019-09-23,1700
2019-09-25,1720
2019-09-26,1740
2019-09-27,1750
2019-09-28,1730
2019-09-29,1720
2019-09-30,1700
2019-10-01,1740
2019-10-02,1700
2019-10-03,1690
2019-10-04,1680
2019-10-05,1650
2019-10-06,1650
2019-10-07,1650
2019-10-08,1650
